Datetime,Close,Signal,Session,QG,RSI_14,EMA_50,EMA_200,High,Low,SweepHi,SweepLo,Score
2025-09-23 23:00:00+00:00,18.344980239868164,FLAT,Other,Q1,,18.344980239868164,18.344980239868164,18.346309661865234,18.340999603271484,0,0,0
2025-09-23 23:15:00+00:00,18.3447208404541,FLAT,Other,Q1,0.0,18.344970067342125,18.344977658779467,18.347000122070312,18.340999603271484,0,0,40
2025-09-23 23:30:00+00:00,18.344940185546875,FLAT,Other,Q1,6.107275600197767,18.344968895507016,18.344977285911483,18.347000122070312,18.34000015258789,0,0,40
2025-09-23 23:45:00+00:00,18.341999053955078,FLAT,Other,Q1,3.2452731818115836,18.34485243113243,18.344947651762663,18.350000381469727,18.340999603271484,0,0,40
2025-09-24 00:00:00+00:00,18.34589958190918,FLAT,Asia,Q1,42.03848983287984,18.344893495868774,18.344957123704418,18.350000381469727,18.34000015258789,0,0,20
2025-09-24 00:15:00+00:00,18.348100662231445,FLAT,Asia,Q1,53.39433557053571,18.345019267098685,18.34498840269474,18.35300064086914,18.339500427246094,0,0,20
2025-09-24 00:30:00+00:00,18.348630905151367,FLAT,Asia,Q1,55.6486293244894,18.345160899963496,18.345024646500278,18.35300064086914,18.3435001373291,0,0,20
2025-09-24 00:45:00+00:00,18.347999572753906,FLAT,Asia,Q1,52.398796654793614,18.34527222046508,18.345054247756533,18.35700035095215,18.3435001373291,0,0,20
2025-09-24 01:00:00+00:00,18.351999282836914,FLAT,Asia,Q1,65.96118286354104,18.345536026832605,18.345123352583204,18.360000610351562,18.347000122070312,0,0,20
2025-09-24 01:15:00+00:00,18.356319427490234,FLAT,Asia,Q1,74.43411115874991,18.345958905289766,18.345234756313626,18.363000869750977,18.348499298095703,0,0,40
2025-09-24 01:30:00+00:00,18.347299575805664,FLAT,Asia,Q1,47.723763237356174,18.34601148060412,18.345255301781208,18.358999252319336,18.342500686645508,0,0,20
2025-09-24 01:45:00+00:00,18.35226058959961,FLAT,Asia,Q1,56.88739318943263,18.346256543701983,18.34532500613761,18.35700035095215,18.343000411987305,0,0,20
2025-09-24 02:00:00+00:00,18.351999282836914,FLAT,Asia,Q1,56.32731689486651,18.346481749158258,18.345391416851037,18.35700035095215,18.3439998626709,0,0,20
2025-09-24 02:15:00+00:00,18.349000930786133,FLAT,Asia,Q1,50.21781721623747,18.346580540594648,18.34542733241258,18.357999801635742,18.341999053955078,0,0,20
2025-09-24 02:30:00+00:00,18.347999572753906,FLAT,Asia,Q1,48.332362729578534,18.34663618891462,18.345452926843837,18.35700035095215,18.347000122070312,0,0,20
2025-09-24 02:45:00+00:00,18.35594940185547,FLAT,Asia,Q1,60.887618662870516,18.347001412951514,18.345557369381268,18.361000061035156,18.34749984741211,0,0,20
2025-09-24 03:00:00+00:00,18.347999572753906,FLAT,Asia,Q1,48.258674554932384,18.347040556473175,18.345581669912338,18.360000610351562,18.34749984741211,0,0,20
2025-09-24 03:15:00+00:00,18.355350494384766,FLAT,Asia,Q1,57.11599020540416,18.347366436391276,18.345678872145893,18.360000610351562,18.347999572753906,0,0,20
2025-09-24 03:30:00+00:00,18.35300064086914,FLAT,Asia,Q1,53.93737428529352,18.347587385586486,18.345751725566025,18.360000610351562,18.347999572753906,0,0,20
